,Year,Temp
0,1950,-1.1
1,1951,-2.3
2,1952,-1.6
3,1953,0.5
4,1954,0.1
5,1955,-3.1
6,1956,-1.2
7,1957,-1.0
8,1958,0.9
9,1959,-1.0
10,1960,-0.8
11,1961,-0.4
12,1962,-2.1
13,1963,-1.8
14,1964,-4.4
15,1965,-2.2
16,1966,-0.3
17,1967,-0.8
18,1968,-2.4
19,1969,-0.7
20,1970,-1.1
21,1971,-2.2
22,1972,-0.4
23,1973,-1.3
24,1974,0.2
25,1975,-1.9
26,1976,-1.1
27,1977,0.5
28,1978,0.6
29,1979,0.0
30,1980,0.1
31,1981,1.6
32,1982,-1.7
33,1983,0.8
34,1984,-1.7
35,1985,-0.8
36,1986,0.0
37,1987,0.7
38,1988,0.6
39,1989,-0.5
40,1990,0.7
41,1991,-0.9
42,1992,0.9
43,1993,-2.4
44,1994,2.0
45,1995,1.2
46,1996,1.6
47,1997,0.7
48,1998,0.2
49,1999,0.6
50,2000,1.0
51,2001,1.1
52,2002,-0.7
53,2003,2.3
54,2004,-0.6
55,2005,0.7
56,2006,1.1
57,2007,1.1
58,2008,-0.8
59,2009,-0.6
60,2010,0.0
61,2011,-0.9
62,2012,3.9
63,2013,0.6
64,2014,2.9
65,2015,3.6
66,2016,3.5
67,2017,3.4
68,2018,3.5
69,2019,0.9
70,2020,3.0
